page,index,filename,x,y,w,h
1,1,page1_sign_001.png,187,9357,153,29
1,2,page1_sign_002.png,362,9359,49,27
1,3,page1_sign_003.png,440,9357,75,26
1,4,page1_sign_004.png,557,9358,52,25
1,5,page1_sign_005.png,694,9353,203,34
1,6,page1_sign_006.png,1133,9357,75,26
1,7,page1_sign_007.png,1251,9358,51,25
1,8,page1_sign_008.png,1387,9353,191,34
1,9,page1_sign_009.png,1601,9356,164,31
1,10,page1_sign_010.png,2494,9354,76,30
1,11,page1_sign_011.png,2602,9357,73,26
1,12,page1_sign_012.png,2680,9357,74,26
1,13,page1_sign_013.png,2777,9357,68,26
1,14,page1_sign_014.png,2884,9354,76,30
1,15,page1_sign_015.png,2992,9354,128,29
1,16,page1_sign_016.png,3683,9358,50,25
1,17,page1_sign_017.png,3742,9359,75,24
1,18,page1_sign_018.png,3839,9359,55,24
1,19,page1_sign_019.png,3957,9359,69,24
1,20,page1_sign_020.png,4034,9359,94,24
1,21,page1_sign_021.png,4151,9359,48,27
1,22,page1_sign_022.png,4229,9358,75,25
1,23,page1_sign_023.png,4346,9358,52,25
1,24,page1_sign_024.png,4482,9353,204,34
1,25,page1_sign_025.png,5089,9357,75,26
1,26,page1_sign_026.png,5342,9353,191,34
1,27,page1_sign_027.png,5557,9356,163,31
1,28,page1_sign_028.png,5879,9354,40,30
1,29,page1_sign_029.png,5987,9357,72,26
1,30,page1_sign_030.png,6065,9357,74,26
1,31,page1_sign_031.png,6277,9354,40,30
1,32,page1_sign_032.png,6385,9355,127,28
2,1,page2_sign_001.png,213,9323,162,34
2,2,page2_sign_002.png,388,9323,66,27
2,3,page2_sign_003.png,467,9323,189,27
2,4,page2_sign_004.png,670,9323,39,34
2,5,page2_sign_005.png,723,9323,149,27
2,6,page2_sign_006.png,888,9323,208,34
2,7,page2_sign_007.png,1152,9323,168,34
2,8,page2_sign_008.png,1465,9323,48,27
2,9,page2_sign_009.png,1549,9323,89,34
2,10,page2_sign_010.png,1650,9323,64,27
2,11,page2_sign_011.png,1726,9323,86,27
2,12,page2_sign_012.png,1885,9323,69,27
2,13,page2_sign_013.png,2023,9323,89,34
2,14,page2_sign_014.png,2125,9323,63,27
2,15,page2_sign_015.png,2201,9323,85,27
3,1,page3_sign_001.png,188,9338,160,34
3,2,page3_sign_002.png,363,9338,65,27
3,3,page3_sign_003.png,441,9338,188,27
3,4,page3_sign_004.png,644,9338,39,34
3,5,page3_sign_005.png,697,9338,149,27
3,6,page3_sign_006.png,862,9338,208,34
3,7,page3_sign_007.png,1127,9338,167,34
3,8,page3_sign_008.png,1440,9338,46,27
3,9,page3_sign_009.png,1524,9338,88,33
3,10,page3_sign_010.png,1625,9338,63,27
3,11,page3_sign_011.png,1701,9338,85,27
3,12,page3_sign_012.png,1859,9338,69,27
3,13,page3_sign_013.png,1999,9338,87,33
3,14,page3_sign_014.png,2100,9338,63,27
3,15,page3_sign_015.png,2176,9338,84,27
4,1,page4_sign_001.png,187,9357,152,29
4,2,page4_sign_002.png,362,9359,48,27
4,3,page4_sign_003.png,440,9357,75,26
4,4,page4_sign_004.png,558,9358,51,25
4,5,page4_sign_005.png,694,9353,203,34
4,6,page4_sign_006.png,1134,9357,74,26
4,7,page4_sign_007.png,1387,9353,191,34
4,8,page4_sign_008.png,1602,9356,163,31
4,9,page4_sign_009.png,2494,9354,76,30
4,10,page4_sign_010.png,2602,9357,72,26
4,11,page4_sign_011.png,2680,9357,74,26
4,12,page4_sign_012.png,2884,9354,76,30
4,13,page4_sign_013.png,2992,9354,128,29
4,14,page4_sign_014.png,3683,9358,50,25
4,15,page4_sign_015.png,3742,9359,75,24
4,16,page4_sign_016.png,3839,9359,55,24
4,17,page4_sign_017.png,4034,9359,94,24
4,18,page4_sign_018.png,4151,9359,48,27
4,19,page4_sign_019.png,4229,9358,75,25
4,20,page4_sign_020.png,4346,9358,52,25
4,21,page4_sign_021.png,4482,9354,204,33
4,22,page4_sign_022.png,5089,9357,75,26
4,23,page4_sign_023.png,5343,9353,190,34
4,24,page4_sign_024.png,5557,9356,163,31
4,25,page4_sign_025.png,5987,9357,72,26
4,26,page4_sign_026.png,6065,9357,74,26
4,27,page4_sign_027.png,6385,9355,127,28
